"","MOD13Q1.A2021273.h29v12.061.2021290014259.hdf","MOD13Q1.A2021289.h29v12.061.2021306182739.hdf","MOD13Q1.A2021305.h29v12.061.2021322012556.hdf","MOD13Q1.A2021321.h29v12.061.2021338161624.hdf","MOD13Q1.A2021337.h29v12.061.2021355015752.hdf","MOD13Q1.A2021353.h29v12.061.2022005001445.hdf","MOD13Q1.A2022001.h29v12.061.2022018175249.hdf","MOD13Q1.A2022017.h29v12.061.2022035004006.hdf","MOD13Q1.A2022033.h29v12.061.2022051005509.hdf","MOD13Q1.A2022049.h29v12.061.2022066003438.hdf","MOD13Q1.A2022065.h29v12.061.2022101213442.hdf","MOD13Q1.A2022081.h29v12.061.2022098001637.hdf","MOD13Q1.A2022097.h29v12.061.2022121225730.hdf","MOD13Q1.A2022113.h29v12.061.2022136104509.hdf","MOD13Q1.A2022129.h29v12.061.2022146013359.hdf","MOD13Q1.A2022145.h29v12.061.2022168103709.hdf","MOD13Q1.A2022161.h29v12.061.2022178180901.hdf","MOD13Q1.A2022177.h29v12.061.2022195120941.hdf","MOD13Q1.A2022193.h29v12.061.2022215014134.hdf","MOD13Q1.A2022209.h29v12.061.2022232150301.hdf","MOD13Q1.A2022225.h29v12.061.2022242000745.hdf","MOD13Q1.A2022241.h29v12.061.2022258131502.hdf","MOD13Q1.A2022257.h29v12.061.2022274023057.hdf","MOD13Q1.A2022273.h29v12.061.2022297154036.hdf","MOD13Q1.A2022289.h29v12.061.2022307122840.hdf","MOD13Q1.A2022305.h29v12.061.2022322030300.hdf","MOD13Q1.A2022321.h29v12.061.2022351024115.hdf"
"1",8426.34574843841,8581.12054072657,7562.55614000493,7548.61845637723,7634.0714104492,8302.14940973978,7209.25805280449,8052.10959163572,7903.61414127601,8635.56648773524,8346.24343350713,8236.03153372557,8874.0436929302,8396.27906522558,8646.51894437504,8694.48417634444,8237.1302721581,7930.39755599019,7901.4566659365,8580.81640598205,8291.42729628809,7997.12188685911,8528.02536735451,8051.19717139872,8387.78031862869,7744.13197354049,7711.05766769265
"2",8212.72167163124,8527.39951580343,7064.86069237463,7788.11649716195,7559.61324081978,7989.86491126909,7866.95844946533,7730.05285391978,7752.77358148828,6669.50149489389,8074.60498871308,8209.36558462905,8595.01633030064,7885.7247909323,8389.79552785573,8869.49694400986,8191.49285814545,7627.24226622588,8378.05896695532,8390.77934044555,8179.12128119056,7975.59700972531,8472.18311583176,8052.08396989201,6550.1248603183,8179.8801652057,7730.39602349085
"3",8632.27914670314,8626.01081592605,8029.88117801515,7961.69753724108,8057.4326045479,8258.11288478099,8628.65596051851,8407.43602175437,8564.37684469996,6988.12614159196,8422.55330286742,8197.47521125524,8598.84449156835,8912.88450229332,8510.71925828926,8544.93979162941,8413.80500842117,7336.34190253797,7745.45075322644,8252.18528291203,8303.71463987998,8021.50150127799,8743.23826010529,8280.42119461828,8781.28165144775,8393.41801705784,7661.67797287744
"4",8500.33618334965,8827.93727260524,7935.27758533443,8025.03904236645,8166.87111278827,8314.99050289185,8403.1167193065,8270.23708842758,8816.32483300809,8963.4832812546,8446.87820679543,8062.43981375017,9071.78172221416,8971.32087596979,8381.74101063646,8986.09853544802,8255.82281501782,7516.01952018613,7925.39544199202,8166.05809454909,8443.38980569424,7996.83068944842,8663.69903627562,8096.21240630606,8946.73681814088,8529.8330621429,7924.41590458435
"5",8177.22601210633,8174.4502698821,7862.84599874872,7581.3125940641,7486.3778747069,8127.7419634477,8078.95917192658,8109.97982795688,8217.94527640257,8807.13238713734,8162.03583347332,8056.12960066296,8735.01433390629,8814.86473239884,8527.29246504202,8976.73350085703,8384.36001867284,7359.02939730156,8390.02614103198,8653.977554367,8233.56208832035,8839.88025026694,8628.64278241062,7808.3400580093,7950.37063375816,7895.09234454995,7639.50561102865
"6",7992.24697737581,8161.746873108,7521.55292411526,7435.2484790258,7377.36152329914,7896.05466301472,7417.89956966719,7509.71023989218,8100.32105762878,8688.52604130511,7999.9767121141,8138.52062003024,8610.47888662078,8760.42215147277,8633.97448243832,8556.31412215265,8258.63462785343,7861.22723596811,8206.36625218447,8502.37197485458,8222.33191826658,8688.00563506851,8338.32398621823,7686.20154499893,8569.71343063954,7643.56122438389,7701.69477155661
"7",7849.21651590393,6989.00690313634,7014.02549057751,7178.60789678306,7156.21156255491,7817.0963008237,7478.16009629112,7645.55020720481,7738.95219070297,8551.33959438642,7847.07045346838,8221.02397017479,8363.96161318385,8460.2827146049,8487.59595391006,9040.67553394275,8365.68870518208,8020.40328247111,8202.63542088412,8656.88580500075,8143.76915712227,8613.7402183028,8141.1987130167,7591.1466435649,8411.08227576921,7493.76463343522,7432.27181858639
"8",7962.67348701472,6807.62396699688,7028.80071001488,7193.58381480432,7099.12753091164,7623.80385024879,7226.33336471934,7525.2285351871,7750.97564268341,8334.40982833914,7606.92183505255,8022.60982004617,8468.44792739342,8583.0385019731,8414.69542964138,8280.43613812137,8129.05269551188,7921.62373453309,8233.12019132462,8418.79707879446,8009.75572384775,8525.46307930196,8119.34717457542,7552.31673203064,7179.74766995628,7431.09148377598,7442.3712431356
"9",8239.82371337275,8085.07731636305,7611.89806613193,7421.61447915493,7401.10877607148,7845.1093063663,7558.52211567202,7314.84959612293,7878.33031133899,7247.01309488979,7665.70348424781,7658.70725488414,8495.58845606888,8553.79391338094,8394.87679538784,8264.73313371275,8638.80624328744,8191.93802522295,8159.6754704229,8358.8125404139,7978.308957951,8500.16340266726,8138.17630601506,7732.79649419287,8223.76737963768,7571.73588731625,7913.97357619063
"10",8242.82505767607,8171.85635290081,7515.57585329119,7885.51437919127,7294.30950319093,7887.51449056512,7682.03955106762,7465.08157401618,7847.59547773482,7836.94208936648,7487.81845462813,7401.14512915774,8646.59790446087,8523.00744311324,8588.76982042268,8418.60573048951,8159.32352645743,8139.80490705651,8316.67695095352,8608.5129121599,8134.92625538656,8575.14322343143,8408.20305883913,7972.46324660375,8612.41116149644,7953.13412896717,7705.42193144394
"11",7405.88137756445,7719.15927623537,6882.10208104592,7025.2448149033,6375.00116311413,7278.12883387388,8116.55379637503,7322.60084669401,7302.78474896833,8070.94336995684,6924.18409322815,8194.59305555271,8170.02536702016,8175.56459082805,8313.31669425389,8275.46902058948,8246.35166071,9180.61821307913,7607.36999413506,8329.77601450691,7934.23578064735,7529.97196713482,8266.81584465009,7773.83508134923,4260.4128921772,7341.17051634608,7807.85909977526
"12",7875.43054540997,8177.02806710511,7339.79299708926,7365.45772317008,7297.69245786401,7715.71533913949,8626.47244243531,7755.97489044914,7854.72350963699,8513.30760483245,8126.75874361143,8215.10490661225,8741.03424088938,8626.15567945673,8778.57277997479,8407.48047681202,8232.48718700452,9445.34948524724,8507.6836541948,8658.00492110938,8210.1754189501,8675.36074856063,8487.07045280892,8060.12867249123,5169.24699703898,7671.20834560382,7904.56179948422
