"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31","Synthetic Fermented Egg"
"32",NA
"33","Synthetic Fermented Egg"
"34","Synthetic Fermented Egg"
"35","Synthetic Fermented Egg"
"36","Synthetic Fermented Egg"
"37","Synthetic Fermented Egg"
"38","Synthetic Fermented Egg"
"39","Synthetic Fermented Egg"
"40","Synthetic Fermented Egg"
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",NA
"62",NA
"63",NA
"64",NA
"65",NA
"66",NA
"67",NA
"68",NA
"69",NA
"70",NA
"71","Synthetic Fermented Egg"
"72","Synthetic Fermented Egg"
"73","Synthetic Fermented Egg"
"74","Synthetic Fermented Egg"
"75","Synthetic Fermented Egg"
"76","Synthetic Fermented Egg"
"77","Synthetic Fermented Egg"
"78","Synthetic Fermented Egg"
"79","Synthetic Fermented Egg"
"80","Synthetic Fermented Egg"
"81","Synthetic Fermented Egg"
"82","Synthetic Fermented Egg"
"83","Synthetic Fermented Egg"
"84","Synthetic Fermented Egg"
"85","Synthetic Fermented Egg"
"86","Synthetic Fermented Egg"
"87","Synthetic Fermented Egg"
"88","Synthetic Fermented Egg"
"89","Synthetic Fermented Egg"
"90","Synthetic Fermented Egg"
"91","Synthetic Fermented Egg"
"92","Synthetic Fermented Egg"
"93","Synthetic Fermented Egg"
"94","Synthetic Fermented Egg"
"95","Synthetic Fermented Egg"
"96","Synthetic Fermented Egg"
"97","Synthetic Fermented Egg"
"98","Synthetic Fermented Egg"
"99","Synthetic Fermented Egg"
"100","Synthetic Fermented Egg"
"101","Synthetic Fermented Egg"
"102","Synthetic Fermented Egg"
"103","Synthetic Fermented Egg"
"104","Synthetic Fermented Egg"
"105","Synthetic Fermented Egg"
"106","Synthetic Fermented Egg"
"107","Synthetic Fermented Egg"
"108","Synthetic Fermented Egg"
"109","Synthetic Fermented Egg"
"110","Synthetic Fermented Egg"
"111","Synthetic Fermented Egg"
"112","Synthetic Fermented Egg"
"113","Synthetic Fermented Egg"
"114","Synthetic Fermented Egg"
"115","Synthetic Fermented Egg"
"116","Synthetic Fermented Egg"
"117","Synthetic Fermented Egg"
"118","Synthetic Fermented Egg"
"119","Synthetic Fermented Egg"
"120","Synthetic Fermented Egg"
"121","Synthetic Fermented Egg"
"122","Synthetic Fermented Egg"
"123","Synthetic Fermented Egg"
"124","Synthetic Fermented Egg"
"125","Synthetic Fermented Egg"
"126","Synthetic Fermented Egg"
"127","Synthetic Fermented Egg"
"128","Synthetic Fermented Egg"
"129","Synthetic Fermented Egg"
"130","Synthetic Fermented Egg"
"131","Synthetic Fermented Egg"
"132",NA
"133","Synthetic Fermented Egg"
"134","Synthetic Fermented Egg"
"135","Synthetic Fermented Egg"
"136","Synthetic Fermented Egg"
"137","Synthetic Fermented Egg"
"138","Synthetic Fermented Egg"
"139","Synthetic Fermented Egg"
"140","Synthetic Fermented Egg"
"141","Synthetic Fermented Egg"
"142","Synthetic Fermented Egg"
"143","Synthetic Fermented Egg"
"144","Synthetic Fermented Egg"
"145","Synthetic Fermented Egg"
"146","Synthetic Fermented Egg"
"147","Synthetic Fermented Egg"
"148","Synthetic Fermented Egg"
"149","Synthetic Fermented Egg"
"150","Synthetic Fermented Egg"
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
"157",NA
"158",NA
"159",NA
"160",NA
"161","Synthetic Fermented Egg"
"162","Synthetic Fermented Egg"
"163","Synthetic Fermented Egg"
"164","Synthetic Fermented Egg"
"165","Synthetic Fermented Egg"
"166","Synthetic Fermented Egg"
"167","Synthetic Fermented Egg"
"168","Synthetic Fermented Egg"
"169","Synthetic Fermented Egg"
"170","Synthetic Fermented Egg"
"171","Synthetic Fermented Egg"
"172","Synthetic Fermented Egg"
"173","Synthetic Fermented Egg"
"174","Synthetic Fermented Egg"
"175","Synthetic Fermented Egg"
"176","Synthetic Fermented Egg"
"177","Synthetic Fermented Egg"
"178","Synthetic Fermented Egg"
"179","Synthetic Fermented Egg"
"180","Synthetic Fermented Egg"
"181","Synthetic Fermented Egg"
"182","Synthetic Fermented Egg"
"183","Synthetic Fermented Egg"
"184","Synthetic Fermented Egg"
"185","Synthetic Fermented Egg"
"186","Synthetic Fermented Egg"
"187","Synthetic Fermented Egg"
"188","Synthetic Fermented Egg"
"189","Synthetic Fermented Egg"
"190","Synthetic Fermented Egg"
"191","Synthetic Fermented Egg"
"192","Synthetic Fermented Egg"
"193","Synthetic Fermented Egg"
"194","Synthetic Fermented Egg"
"195","Synthetic Fermented Egg"
"196","Synthetic Fermented Egg"
"197","Synthetic Fermented Egg"
"198","Synthetic Fermented Egg"
"199","Synthetic Fermented Egg"
"200","Synthetic Fermented Egg"
"201","Synthetic Fermented Egg"
"202","Synthetic Fermented Egg"
"203","Synthetic Fermented Egg"
"204","Synthetic Fermented Egg"
"205","Synthetic Fermented Egg"
"206","Synthetic Fermented Egg"
"207","Synthetic Fermented Egg"
"208","Synthetic Fermented Egg"
"209","Synthetic Fermented Egg"
"210","Synthetic Fermented Egg"
"211","Synthetic Fermented Egg"
"212","Synthetic Fermented Egg"
"213","Synthetic Fermented Egg"
"214","Synthetic Fermented Egg"
"215","Synthetic Fermented Egg"
"216","Synthetic Fermented Egg"
"217","Synthetic Fermented Egg"
"218","Synthetic Fermented Egg"
"219","Synthetic Fermented Egg"
"220","Synthetic Fermented Egg"
"221","Synthetic Fermented Egg"
"222","Synthetic Fermented Egg"
"223","Synthetic Fermented Egg"
"224","Synthetic Fermented Egg"
"225","Synthetic Fermented Egg"
"226","Synthetic Fermented Egg"
"227","Synthetic Fermented Egg"
"228","Synthetic Fermented Egg"
"229","Synthetic Fermented Egg"
"230","Synthetic Fermented Egg"
"231","Synthetic Fermented Egg"
"232",NA
"233","Synthetic Fermented Egg"
"234","Synthetic Fermented Egg"
"235","Synthetic Fermented Egg"
"236","Synthetic Fermented Egg"
"237","Synthetic Fermented Egg"
"238","Synthetic Fermented Egg"
"239","Synthetic Fermented Egg"
"240","Synthetic Fermented Egg"
"241","Synthetic Fermented Egg"
"242","Synthetic Fermented Egg"
"243","Synthetic Fermented Egg"
"244","Synthetic Fermented Egg"
"245","Synthetic Fermented Egg"
"246","Synthetic Fermented Egg"
"247","Synthetic Fermented Egg"
"248","Synthetic Fermented Egg"
"249","Synthetic Fermented Egg"
"250","Synthetic Fermented Egg"
"251","Synthetic Fermented Egg"
"252","Synthetic Fermented Egg"
"253","Synthetic Fermented Egg"
"254","Synthetic Fermented Egg"
"255","Synthetic Fermented Egg"
"256","Synthetic Fermented Egg"
"257","Synthetic Fermented Egg"
"258","Synthetic Fermented Egg"
"259","Synthetic Fermented Egg"
"260","Synthetic Fermented Egg"
"261","Synthetic Fermented Egg"
"262","Synthetic Fermented Egg"
"263","Synthetic Fermented Egg"
"264","Synthetic Fermented Egg"
"265","Synthetic Fermented Egg"
"266","Synthetic Fermented Egg"
"267","Synthetic Fermented Egg"
"268","Synthetic Fermented Egg"
"269","Synthetic Fermented Egg"
"270","Synthetic Fermented Egg"
"271","Synthetic Fermented Egg"
"272","Synthetic Fermented Egg"
"273","Synthetic Fermented Egg"
"274","Synthetic Fermented Egg"
"275","Synthetic Fermented Egg"
"276","Synthetic Fermented Egg"
"277","Synthetic Fermented Egg"
"278","Synthetic Fermented Egg"
"279","Synthetic Fermented Egg"
"280","Synthetic Fermented Egg"
"281","Synthetic Fermented Egg"
"282","Synthetic Fermented Egg"
"283","Synthetic Fermented Egg"
"284","Synthetic Fermented Egg"
"285","Synthetic Fermented Egg"
"286","Synthetic Fermented Egg"
"287","Synthetic Fermented Egg"
"288","Synthetic Fermented Egg"
"289","Synthetic Fermented Egg"
"290","Synthetic Fermented Egg"
"291","Synthetic Fermented Egg"
"292","Synthetic Fermented Egg"
"293","Synthetic Fermented Egg"
"294","Synthetic Fermented Egg"
"295","Synthetic Fermented Egg"
"296","Synthetic Fermented Egg"
"297","Synthetic Fermented Egg"
"298","Synthetic Fermented Egg"
"299","Synthetic Fermented Egg"
"300","Synthetic Fermented Egg"
"301","Synthetic Fermented Egg"
"302","Synthetic Fermented Egg"
"303","Synthetic Fermented Egg"
"304","Synthetic Fermented Egg"
"305","Synthetic Fermented Egg"
"306","Synthetic Fermented Egg"
"307","Synthetic Fermented Egg"
"308","Synthetic Fermented Egg"
"309","Synthetic Fermented Egg"
"310","Synthetic Fermented Egg"
"311","Synthetic Fermented Egg"
"312","Synthetic Fermented Egg"
"313","Synthetic Fermented Egg"
"314","Synthetic Fermented Egg"
"315","Synthetic Fermented Egg"
"316","Synthetic Fermented Egg"
"317","Synthetic Fermented Egg"
"318","Synthetic Fermented Egg"
"319","Synthetic Fermented Egg"
"320","Synthetic Fermented Egg"
"321","Synthetic Fermented Egg"
"322","Synthetic Fermented Egg"
"323","Synthetic Fermented Egg"
"324","Synthetic Fermented Egg"
"325","Synthetic Fermented Egg"
"326","Synthetic Fermented Egg"
"327","Synthetic Fermented Egg"
"328","Synthetic Fermented Egg"
"329","Synthetic Fermented Egg"
"330","Synthetic Fermented Egg"
"331","Synthetic Fermented Egg"
"332",NA
"333","Synthetic Fermented Egg"
"334","Synthetic Fermented Egg"
"335","Synthetic Fermented Egg"
"336","Synthetic Fermented Egg"
"337","Synthetic Fermented Egg"
